outcome,treatment,outcome_label,treatment_label,variable,importance,rank,variable_label,importance_norm
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241607,0.08876979478273048,1,Sexism: women over-interpret remarks,1
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241239,0.04050145565482917,2,Spending & services scale,0.45625266740741
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241422,0.03722744520883495,3,V241422,0.4193706350223227
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241570,0.0367712086440874,4,Trouble concentrating (past week),0.4142310876586703
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241621,0.03536763395063962,5,Life satisfaction,0.39841968810679435
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241576,0.034246678999105315,6,Little interest/pleasure (PHQ-2),0.3857920262508905
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241119,0.03239490509422401,7,Emotion: afraid,0.3649316208684782
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241275x,0.026896112182677546,8,Spending: welfare programs,0.30298720694924924
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241290x,0.02662124765631306,9,DEI approval (summary),0.29989083247821174
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241578,0.02560719769980926,10,Too sensitive / easily offended,0.2884674653409355
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241123,0.025302083290561137,11,Emotion: worried,0.2850303231238682
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241125,0.024464259383715443,12,Emotion: irritated,0.27559215883728494
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241118,0.021785437358668412,13,Emotion: hopeful,0.24541497940813772
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241483,0.020817842894929686,14,Employment status,0.23451493772045587
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241255,0.02004059285766865,15,Govt assistance to Blacks scale,0.2257591437123318
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241120,0.020012723662951575,16,Emotion: outraged,0.22544519464006813
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241567x,0.019538805709598615,17,Household income (6-cat),0.22010646478817533
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241122,0.01951497346435748,18,Emotion: happy,0.21983799232747553
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241124,0.01892143318770838,19,Emotion: proud,0.21315170587044557
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241319x,0.01869456334566327,20,Favor voter ID (summary),0.21059599598511364
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241385x,0.01853058402218642,21,Gay marriage (summary),0.20874875364465087
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241126,0.018504727956713783,22,Emotion: nervous,0.208457482660687
