treatment,covariate,SMD_unadjusted,SMD_matched,balance_achieved
National prospective economic pessimism,distance,0.6851,0.1621,FALSE
National prospective economic pessimism,V241177,0.5967,0.1204,FALSE
National prospective economic pessimism,V241465x,-0.3115,-0.0607,TRUE
National prospective economic pessimism,V241025,0.2579,0.042,TRUE
National prospective economic pessimism,V241420,-0.2382,-0.0483,TRUE
National prospective economic pessimism,V241567x,-0.2201,-0.1023,FALSE
National prospective economic pessimism,V241497_2,0.0374,0.0044,TRUE
National prospective economic pessimism,V241551,0.0239,0.0483,TRUE
National prospective economic pessimism,V241483,-0.0201,0.0151,TRUE
National retrospective economic pessimism,distance,1.7403,0.1918,FALSE
National retrospective economic pessimism,V241177,1.3196,0.1475,FALSE
National retrospective economic pessimism,V241420,-0.6201,-0.073,TRUE
National retrospective economic pessimism,V241465x,-0.6099,-0.0839,TRUE
National retrospective economic pessimism,V241025,0.4714,0.0491,TRUE
National retrospective economic pessimism,V241567x,-0.3819,-0.1319,FALSE
National retrospective economic pessimism,V241551,0.0678,0.1022,FALSE
National retrospective economic pessimism,V241497_2,0.0538,-0.0012,TRUE
National retrospective economic pessimism,V241483,0.0427,0.0715,TRUE
Personal financial prospective worry,distance,0.6287,0.1025,FALSE
Personal financial prospective worry,V241177,0.6114,0.0811,TRUE
Personal financial prospective worry,V241420,-0.2601,-0.0447,TRUE
Personal financial prospective worry,V241025,0.1969,0.0173,TRUE
Personal financial prospective worry,V241465x,-0.1559,0.0238,TRUE
Personal financial prospective worry,V241567x,-0.1485,-0.0482,TRUE
Personal financial prospective worry,V241551,-0.0139,0.0559,TRUE
Personal financial prospective worry,V241483,-0.0093,0.0011,TRUE
Personal financial prospective worry,V241497_2,-0.0077,-0.0019,TRUE
Personal financial retrospective pessimism,distance,0.8637,0.1651,FALSE
Personal financial retrospective pessimism,V241177,0.7521,0.1104,FALSE
Personal financial retrospective pessimism,V241420,-0.409,-0.1057,FALSE
Personal financial retrospective pessimism,V241567x,-0.3149,-0.1535,FALSE
Personal financial retrospective pessimism,V241465x,-0.2913,-0.0838,TRUE
Personal financial retrospective pessimism,V241025,0.2416,0.0053,TRUE
Personal financial retrospective pessimism,V241497_2,0.0107,-0.003,TRUE
Personal financial retrospective pessimism,V241483,0.0093,0.0228,TRUE
Personal financial retrospective pessimism,V241551,-0.0023,0.069,TRUE
