outcome,treatment,n,outcome_label,treatment_label,mean_pred_coef,mean_pred_se,mean_pred_p,diff_pred_coef,diff_pred_se,diff_pred_p,mean_calibrated,heterogeneity_detected,what_sd,what_min,what_max,piling_low,piling_high,piling_flag,calibration_quality,primary
O1_rr_index,C_nat_econ_last,3946,Racial resentment index,National retrospective economic pessimism,1.052538257764138,0.25551617650637604,1.939410907903971e-5,-0.510776934403588,0.7616790248508432,0.7487405763740114,TRUE,FALSE,0.9746931305912147,1.7481069627457464,4.906218938889395,0,0.08996452103395844,FALSE,Good,TRUE
O1_rr_index,C_nat_econ_next,3946,Racial resentment index,National prospective economic pessimism,1.3412550677650914,3.6469629794458123,0.3565310624737874,0.14277189756620248,0.6868091153127295,0.417667825692541,FALSE,FALSE,0.349228535924656,1.940607020974667,3.620078554475973,0,0,FALSE,Recalibrate,TRUE
O1_rr_index,C_pers_fin_last,3946,Racial resentment index,Personal financial retrospective pessimism,1.1241465088752138,0.40146241069516786,0.0025665406209595164,0.6216271777384049,0.49870645562819416,0.10633129053137667,TRUE,FALSE,0.5546714871119929,2.232407456291192,4.5961768176498445,0,0,FALSE,Good,TRUE
O1_rr_index,C_fin_nextyear,3946,Racial resentment index,Personal financial prospective worry,1.1013335490584844,0.5681975070572043,0.02632934645898441,0.21535977624522515,0.6501184429239976,0.37023195579337964,TRUE,FALSE,0.2000901332780904,2.403452062127092,3.4914897408921313,0,0,FALSE,Good,TRUE
O4_welfare_binary,C_nat_econ_last,3946,Welfare spending opposition,National retrospective economic pessimism,0.19672185605881715,1.9428916770384954,0.45967774437021885,-2.16972838760275,1.086756721815778,0.9770268565108993,FALSE,FALSE,0.9746931305912147,1.7481069627457464,4.906218938889395,0,0.08996452103395844,FALSE,Recalibrate,FALSE
O4_welfare_binary,C_nat_econ_next,3946,Welfare spending opposition,National prospective economic pessimism,0.9413313181977547,0.40481418886580095,0.010052087227458456,0.3889220099466888,0.8225252986276937,0.3181771191889317,TRUE,FALSE,0.349228535924656,1.940607020974667,3.620078554475973,0,0,FALSE,Good,FALSE
O4_welfare_binary,C_pers_fin_last,3946,Welfare spending opposition,Personal financial retrospective pessimism,1.0142740963118158,0.19325004020567016,8.070501900282424e-8,2.126387051923003,0.41214742914526253,1.3004355661759832e-7,TRUE,TRUE,0.5546714871119929,2.232407456291192,4.5961768176498445,0,0,FALSE,Good,FALSE
O4_welfare_binary,C_fin_nextyear,3946,Welfare spending opposition,Personal financial prospective worry,0.12593179010242897,1.8620017391448047,0.4730408148995612,-2.387184920881332,1.1824594378450888,0.9782137978996114,FALSE,FALSE,0.2000901332780904,2.403452062127092,3.4914897408921313,0,0,FALSE,Recalibrate,FALSE
O5_aidpoor_binary,C_nat_econ_last,3946,Aid to poor opposition,National retrospective economic pessimism,1.0129069876052763,0.25510004754704596,3.648080344463159e-5,0.9743513783128795,0.33337915216760505,0.001745183877277575,TRUE,TRUE,0.9746931305912147,1.7481069627457464,4.906218938889395,0,0.08996452103395844,FALSE,Good,FALSE
O5_aidpoor_binary,C_nat_econ_next,3946,Aid to poor opposition,National prospective economic pessimism,1.0562635275148144,0.38522176016962706,0.0030674460897300486,0.6460937089327832,0.5283167512483552,0.11071485081181369,TRUE,FALSE,0.349228535924656,1.940607020974667,3.620078554475973,0,0,FALSE,Good,FALSE
