model,outcome,treatment,est,se,p,n_used,ok,stars,p_fmt,outcome_label,treatment_label,primary
CF(cont ATE),O1_rr_index,C_fin_nextyear,0.03323430971765464,0.014194962885023976,0.019218013041751192,NA,TRUE,*,0.01922,Racial resentment index,Personal financial prospective worry (continuous),TRUE
CF(cont ATE),O1_rr_index,C_nat_econ_last,0.06903314223604252,0.014712602343284552,2.704022345367818e-6,NA,TRUE,***,2.70e-06,Racial resentment index,National retrospective economic pessimism (continuous),TRUE
CF(cont ATE),O1_rr_index,C_nat_econ_next,0.006183258166918111,0.011782264871648873,0.5997266239172305,NA,TRUE,,0.59973,Racial resentment index,National prospective economic pessimism (continuous),TRUE
CF(cont ATE),O1_rr_index,C_pers_fin_last,0.03595139880547328,0.013938927095463897,0.009902700542802734,NA,TRUE,**,0.00990,Racial resentment index,Personal financial retrospective pessimism (continuous),TRUE
CF(cont ATE),O4_welfare_binary,C_fin_nextyear,0.006428752459811983,0.005349102535624392,0.22942646133613276,NA,TRUE,,0.22943,Welfare spending opposition,Personal financial prospective worry (continuous),FALSE
CF(cont ATE),O4_welfare_binary,C_nat_econ_last,-0.0040922857644322625,0.004895179823669022,0.4031646219774947,NA,TRUE,,0.40316,Welfare spending opposition,National retrospective economic pessimism (continuous),FALSE
CF(cont ATE),O4_welfare_binary,C_nat_econ_next,-0.013140723765432348,0.004202651379223054,0.0017673820421073572,NA,TRUE,**,0.00177,Welfare spending opposition,National prospective economic pessimism (continuous),FALSE
CF(cont ATE),O4_welfare_binary,C_pers_fin_last,-0.02510737310729847,0.005147321772223997,1.0730023283223034e-6,NA,TRUE,***,1.07e-06,Welfare spending opposition,Personal financial retrospective pessimism (continuous),FALSE
CF(cont ATE),O5_aidpoor_binary,C_fin_nextyear,0.012553490802051308,0.005326731092602765,0.018438288340812292,NA,TRUE,*,0.01844,Aid to poor opposition,Personal financial prospective worry (continuous),FALSE
CF(cont ATE),O5_aidpoor_binary,C_nat_econ_last,0.014485919439438699,0.005899176053895186,0.014065606779081863,NA,TRUE,*,0.01407,Aid to poor opposition,National retrospective economic pessimism (continuous),FALSE
CF(cont ATE),O5_aidpoor_binary,C_nat_econ_next,0.009956009450152022,0.00432229640191952,0.021255932658631682,NA,TRUE,*,0.02126,Aid to poor opposition,National prospective economic pessimism (continuous),FALSE
CF(cont ATE),O5_aidpoor_binary,C_pers_fin_last,-0.0034115336025554817,0.005419525045200627,0.5290287020962605,NA,TRUE,,0.52903,Aid to poor opposition,Personal financial retrospective pessimism (continuous),FALSE
CF(cont ATE),O6_status_jobs_threat,C_fin_nextyear,0.0014106252135802897,0.018806067901713606,0.940207514450702,NA,TRUE,,0.94021,White status / jobs threat,Personal financial prospective worry (continuous),FALSE
CF(cont ATE),O6_status_jobs_threat,C_nat_econ_last,0.10609212979813236,0.01789176607494122,3.0355844504725837e-9,NA,TRUE,***,3.04e-09,White status / jobs threat,National retrospective economic pessimism (continuous),FALSE
CF(cont ATE),O6_status_jobs_threat,C_nat_econ_next,0.004430095354349025,0.0150959075822712,0.7691680223084363,NA,TRUE,,0.76917,White status / jobs threat,National prospective economic pessimism (continuous),FALSE
CF(cont ATE),O6_status_jobs_threat,C_pers_fin_last,-0.016238224659718165,0.01837485005062269,0.37684731731435983,NA,TRUE,,0.37685,White status / jobs threat,Personal financial retrospective pessimism (continuous),FALSE
CF(cont ATE),O7_gov_favors_blacks_amt,C_fin_nextyear,0.10841023760877244,0.02457864612816322,1.0301369598231247e-5,NA,TRUE,***,1.03e-05,Government favors Blacks (amount),Personal financial prospective worry (continuous),FALSE
CF(cont ATE),O7_gov_favors_blacks_amt,C_nat_econ_last,0.03474330456453519,0.02548192028554758,0.17274097511247755,NA,TRUE,,0.17274,Government favors Blacks (amount),National retrospective economic pessimism (continuous),FALSE
CF(cont ATE),O7_gov_favors_blacks_amt,C_nat_econ_next,-3.9608250178545495e-4,0.02037725151765215,0.9844921080860978,NA,TRUE,,0.98449,Government favors Blacks (amount),National prospective economic pessimism (continuous),FALSE
CF(cont ATE),O7_gov_favors_blacks_amt,C_pers_fin_last,0.05960177707903569,0.023851238349116625,0.01245806746878686,NA,TRUE,*,0.01246,Government favors Blacks (amount),Personal financial retrospective pessimism (continuous),FALSE
