term,estimate,std.error,statistic,df,p.value,sig,ci_lo,ci_hi,treatment,outcome,t_label,o_label
T_nat_retro_bin,0.09002208828239022,0.032486592581145425,2.7710535679459736,2.4418738941407314,0.08762677690153993,.,0.026348366823345196,0.15369580974143526,T_nat_retro_bin,racial_resentment,National retrospective pessimism (binary),Racial resentment index [PRIMARY]
T_nat_retro_bin,0.22757872901648893,0.04278073718783039,5.31965421767503,3.097780015851105,0.01195471746133644,*,0.14372848412834138,0.3114289739046365,T_nat_retro_bin,redist_welfare_oppose,National retrospective pessimism (binary),Welfare spending opposition [SECONDARY]
T_nat_retro_bin,0.07717763151378335,0.033125917630700906,2.3298262216970427,3.660907071093005,0.08634726576764236,.,0.012250832957609578,0.1421044300699571,T_nat_retro_bin,redist_aidpoor_oppose,National retrospective pessimism (binary),Aid to poor opposition [SECONDARY]
T_nat_retro_bin,0.014170843347421636,0.012049689190055711,1.1760339311586938,748.3132661545553,0.23995531412270538,,-0.009446547465087558,0.03778823415993083,T_nat_retro_bin,status_jobs_threat,National retrospective pessimism (binary),White jobs threat [TERTIARY]
T_nat_retro_bin,-0.04723625958890044,0.026091072224718306,-1.810437654001413,3.3340707818885416,0.1586295768000801,,-0.09837476114934832,0.0039022419715474405,T_nat_retro_bin,status_govfavor_threat,National retrospective pessimism (binary),Gov favors Blacks / status threat [TERTIARY]
T_nat_prosp_bin,0.03588706548385616,0.014248692366711389,2.518621678414335,3.6493696911605253,0.0714108309318323,.,0.007959628445101837,0.06381450252261048,T_nat_prosp_bin,racial_resentment,National prospective pessimism (binary),Racial resentment index [PRIMARY]
T_nat_prosp_bin,0.0740022546816262,0.0183935966615473,4.023261792857047,9.70017120379007,0.002579338682089339,**,0.03795080522499349,0.1100537041382589,T_nat_prosp_bin,redist_welfare_oppose,National prospective pessimism (binary),Welfare spending opposition [SECONDARY]
T_nat_prosp_bin,0.11846364580379715,0.04816676348950513,2.4594479101675315,2.399325632933771,0.11217644101727144,,0.024056789364367087,0.2128705022432272,T_nat_prosp_bin,redist_aidpoor_oppose,National prospective pessimism (binary),Aid to poor opposition [SECONDARY]
T_nat_prosp_bin,-0.013228633824716007,0.02835095246301632,-0.46660280080440675,2.547264656726979,0.677732449886318,,-0.06879650065222799,0.042339233002795976,T_nat_prosp_bin,status_jobs_threat,National prospective pessimism (binary),White jobs threat [TERTIARY]
T_nat_prosp_bin,-0.021509105799977297,0.012629921831926743,-1.7030276264739161,6.618722861717467,0.13481023632860484,,-0.04626375259055371,0.0032455409905991182,T_nat_prosp_bin,status_govfavor_threat,National prospective pessimism (binary),Gov favors Blacks / status threat [TERTIARY]
T_pers_retro_bin,0.03807823366999817,0.014365611274521843,2.650651819984291,3.908939508979298,0.0583163033048205,.,0.009921635571935358,0.06623483176806098,T_pers_retro_bin,racial_resentment,Personal retrospective pessimism (binary),Racial resentment index [PRIMARY]
T_pers_retro_bin,0.10896425421267579,0.06399589838116035,1.7026755927963284,2.2157683562747974,0.21844793104535776,,-0.01646770661439849,0.23439621503975006,T_pers_retro_bin,redist_welfare_oppose,Personal retrospective pessimism (binary),Welfare spending opposition [SECONDARY]
T_pers_retro_bin,0.07577332003203088,0.03131242216040743,2.4199124438173114,3.05926420213795,0.09251290258579827,.,0.014400972597632324,0.13714566746642945,T_pers_retro_bin,redist_aidpoor_oppose,Personal retrospective pessimism (binary),Aid to poor opposition [SECONDARY]
T_pers_retro_bin,-0.0103439424627527,0.042320440471399975,-0.24441953693140567,2.223543015142098,0.8276388430005399,,-0.09329200578669665,0.07260412086119124,T_pers_retro_bin,status_jobs_threat,Personal retrospective pessimism (binary),White jobs threat [TERTIARY]
T_pers_retro_bin,-0.032314661460312005,0.020100274662975953,-1.6076726314508802,3.2781297452653746,0.19855838563669934,,-0.07171119979974487,0.00708187687912086,T_pers_retro_bin,status_govfavor_threat,Personal retrospective pessimism (binary),Gov favors Blacks / status threat [TERTIARY]
T_pers_prosp_bin,0.029919765091626777,0.018338398412628642,1.6315364307399216,2.7569425029961616,0.20918727318382194,,-0.0060234957971253625,0.06586302598037891,T_pers_prosp_bin,racial_resentment,Personal prospective pessimism (binary),Racial resentment index [PRIMARY]
T_pers_prosp_bin,0.10167903481615781,0.04400558527127259,2.3105938527883914,2.4183332265318063,0.12494423783937798,,0.015428087684463535,0.1879299819478521,T_pers_prosp_bin,redist_welfare_oppose,Personal prospective pessimism (binary),Welfare spending opposition [SECONDARY]
T_pers_prosp_bin,0.09860370337188912,0.031216758063358854,3.158678526827125,3.112162721688063,0.04842523931268197,*,0.037418857567705764,0.15978854917607246,T_pers_prosp_bin,redist_aidpoor_oppose,Personal prospective pessimism (binary),Aid to poor opposition [SECONDARY]
T_pers_prosp_bin,0.002850712740645011,0.021948604746675603,0.1298812737095185,2.984428612488938,0.9049195809289778,,-0.040168552562839174,0.04586997804412919,T_pers_prosp_bin,status_jobs_threat,Personal prospective pessimism (binary),White jobs threat [TERTIARY]
T_pers_prosp_bin,-0.014459261936179635,0.02702433457136149,-0.5350459933804459,2.4392270846019493,0.6374631386092144,,-0.06742695769604815,0.03850843382368888,T_pers_prosp_bin,status_govfavor_threat,Personal prospective pessimism (binary),Gov favors Blacks / status threat [TERTIARY]
