term,estimate,std.error,statistic,df,p.value,sig,ci_lo,ci_hi,outcome,o_label
T_nat_retro_bin,0.07683763889626634,0.03371139134630868,2.279278185433894,2.4507076175610676,0.12665275831510714,,0.010763311857501318,0.14291196593503136,racial_resentment,Racial resentment index [PRIMARY]
media_rw_high,-0.0017660395595944657,0.026942532145517697,-0.06554838832727433,27.04758959327331,0.9482194763798713,,-0.05457340256480915,0.05104132344562022,racial_resentment,Racial resentment index [PRIMARY]
T_nat_retro_bin:media_rw_high,0.037786934773621224,0.027704704371687677,1.3639176317014556,41.97449482322485,0.1798632205784066,,-0.016514285794886625,0.09208815534212908,racial_resentment,Racial resentment index [PRIMARY]
T_nat_retro_bin,0.2204938847453594,0.04198284336679623,5.251999794748194,3.3741087709151913,0.00994654503925595,**,0.13820751174643878,0.30278025774427997,redist_welfare_oppose,Welfare spending opposition [SECONDARY]
media_rw_high,-0.0035418002937472764,0.043698050330332264,-0.08105167775159972,20.1989986174098,0.9361985878378597,,-0.08918997894119851,0.08210637835370396,redist_welfare_oppose,Welfare spending opposition [SECONDARY]
T_nat_retro_bin:media_rw_high,0.022455710019653855,0.04628529830818571,0.4851585890218296,26.460963829291106,0.6315564467769765,,-0.06826347466439013,0.11317489470369783,redist_welfare_oppose,Welfare spending opposition [SECONDARY]
T_nat_retro_bin,0.0600243512644161,0.032487789742244054,1.8475972585591471,4.154141980158686,0.13571450049807457,,-0.0036517166303822526,0.12370041915921445,redist_aidpoor_oppose,Aid to poor opposition [SECONDARY]
media_rw_high,-0.0017881485371887423,0.04340491053403254,-0.04119691793366805,13.517737485338655,0.9677411994142066,,-0.08686177318389252,0.08328547610951503,redist_aidpoor_oppose,Aid to poor opposition [SECONDARY]
T_nat_retro_bin:media_rw_high,0.04859277870322385,0.0555031944295443,0.8754951710915931,7.280908093400156,0.4092558986106912,,-0.06019348237868297,0.15737903978513068,redist_aidpoor_oppose,Aid to poor opposition [SECONDARY]
T_nat_retro_bin,0.002543377571621598,0.012781829076835387,0.19898385092873616,604.9725972688308,0.8423422323852711,,-0.02250900741897576,0.027595762562218955,status_jobs_threat,White jobs threat [TERTIARY]
media_rw_high,0.020050691237679913,0.028705611191355764,0.6984937928692443,17.829757846044238,0.4938791332197099,,-0.036212306697377385,0.0763136891727372,status_jobs_threat,White jobs threat [TERTIARY]
T_nat_retro_bin:media_rw_high,0.01614585085550223,0.029717909296289344,0.5433037261984727,43.37461485234012,0.5897021754785765,,-0.042101251365224884,0.07439295307622934,status_jobs_threat,White jobs threat [TERTIARY]
T_nat_retro_bin,-0.0423194608111725,0.02741152363191494,-1.5438565684798495,3.363458793404555,0.21059272442279703,,-0.09604604712972578,0.01140712550738078,status_govfavor_threat,Gov favors Blacks / status threat [TERTIARY]
media_rw_high,-0.025826754584026435,0.030238464512067027,-0.8541027132419358,2920.7342593593025,0.3931181256042944,,-0.08509414502767781,0.03344063585962494,status_govfavor_threat,Gov favors Blacks / status threat [TERTIARY]
T_nat_retro_bin:media_rw_high,0.006969210606487343,0.03191506748220253,0.21836740938660806,1048.3111398806182,0.8271853574241453,,-0.05558432165862962,0.06952274287160431,status_govfavor_threat,Gov favors Blacks / status threat [TERTIARY]
